ID_GAND_CT	ID_GAND	referent	EN_source_sentence	referent_embedding	sentence_source	OPUS_DE_translation	DE_gender	OPUS_ES_translation	ES_gender	DE_contrastive_TR	DE_contrastive_gender	ES_contrastive_TR	ES_contrastive_gender
533	4673	secretary	Yesterday, my secretary left a tape on my desk.	female_embedding_list	OpenSubtitles	Gestern hat meine Sekretärin ein Band auf meinem Schreibtisch hinterlassen.	feminine	Ayer, mi secretaria dejó una cinta en mi escritorio.	feminine	Gestern hat mein Sekretär ein Band auf meinem Schreibtisch hinterlassen.	masculine	Ayer, mi secretario dejó una cinta en mi escritorio.	masculine
534	2492	veteran	Barkley said that the best advice on diabetes prevention she has heard was by a 72-year-old veteran that had recently been diagnosed with the disease.	male_embedding_list	C4	Barkley sagte, dass der beste Rat zur Diabetesprävention, den sie gehört hat, von einem 72-jährigen Veteranen war, der vor kurzem mit der Krankheit diagnostiziert worden war.	masculine	Barkley dijo que el mejor consejo sobre la prevención de la diabetes que ha oído fue por un veterano de 72 años que había sido diagnosticado recientemente con la enfermedad.	masculine	Barkley sagte, dass der beste Rat zur Diabetesprävention, den sie gehört hat, von einer 72-jährigen Veteranin war, die vor kurzem mit der Krankheit diagnostiziert worden war.	feminine	Barkley dijo que el mejor consejo sobre la prevención de la diabetes que ha oído fue por una veterana de 72 años que había sido diagnosticada recientemente con la enfermedad.	feminine
535	3589	champion	I' m a world- famous sportscaster... and you' re an ex- champion with diminished skills.	male_embedding_list	OpenSubtitles	Ich bin ein weltberühmter Sportler... und du bist ein Ex-Champion mit verminderten Fähigkeiten.	masculine	Soy una deportista mundialmente famosa... y tú eres una ex-campeona con habilidades disminuidas.	feminine	Ich bin ein weltberühmter Sportler... und du bist eine Ex-Champion mit verminderten Fähigkeiten.	feminine	Soy una deportista mundialmente famosa... y tú eres un ex-campeón con habilidades disminuidas.	masculine
536	4980	dancer	And I remember you were a really good dancer.	female_embedding_list	OpenSubtitles	Und ich erinnere mich, dass du eine wirklich gute Tänzerin warst.	feminine	Y recuerdo que eras una muy buena bailarina.	feminine	Und ich erinnere mich, dass du ein wirklich guter Tänzer warst.	masculine	Y recuerdo que eras un muy buen bailarín.	masculine
537	2254	teen	Abducted teen receives own reward money The company said the Closses were longtime employees of the Jennie-O store in Barron.	female_embedding_list	C4	Entführte Teenager erhält eigene Belohnung Geld Das Unternehmen sagte, die Closses waren langjährige Mitarbeiter des Jennie-O-Geschäft in Barron.	masculine	Adolescente secuestrado recibe dinero de recompensa propia La compañía dijo que los Closs eran empleados de la tienda Jennie-O en Barron.	masculine	Entführte Teenagerin erhält eigene Belohnung Geld Das Unternehmen sagte, die Closses waren langjährige Mitarbeiter des Jennie-O-Geschäft in Barron.	feminine	Adolescente secuestrada recibe dinero de recompensa propia La compañía dijo que los Closs eran empleados de la tienda Jennie-O en Barron.	feminine
538	4905	mechanic	You' re pretty young to be a ship' s mechanic.	male_embedding_list	OpenSubtitles	Du bist ziemlich jung, um ein Schiffsmechaniker zu sein.	masculine	Eres muy joven para ser mecánico de un barco.	masculine	Du bist ziemlich jung, um eine Schiffsmechanikerin zu sein.	feminine	Eres muy joven para ser mecánica de un barco.	feminine
539	2236	teen	As the parent of a troubled teen, you’re faced with even greater challenges.	female_embedding_list	C4	Als Eltern eines problembeladenen Teenagers bist du mit noch größeren Herausforderungen konfrontiert.	masculine	Como padre de un adolescente con problemas, te enfrentas a desafíos aún mayores.	masculine	Als Eltern einer problembeladenen Teenagerin bist du mit noch größeren Herausforderungen konfrontiert.	feminine	Como padre de una adolescente con problemas, te enfrentas a desafíos aún mayores.	feminine
540	1713	soldier	Look at Paul the weary, jaded prisoner chained to a soldier recently wrecked, about to stand before Caesar.	male_embedding_list	C4	Sehen Sie, wie Paulus, der müde Gefangene, vor kurzem an einen Soldaten gekettet wurde und kurz davor stand, vor Cäsar zu stehen.	masculine	Mira a Pablo el cansado, prisionero encadenado a un soldado recientemente destrozado, a punto de estar ante César.	masculine	Sehen Sie, wie Paulus, die müde Gefangene, vor kurzem an eine Soldatin gekettet wurde und kurz davor stand, vor Cäsar zu stehen.	feminine	Mira a Pablo el cansado, prisionero encadenado a una soldado recientemente destrozada, a punto de estar ante César.	feminine
541	4462	governor	Convince the governor the best way to train the guards... is to play a really tough match against a team of cons... with you as the captain.	male_embedding_list	OpenSubtitles	Überzeugen Sie den Gouverneur der beste Weg, um die Wachen zu trainieren, ist ein wirklich hartes Spiel gegen ein Team von Kontras... mit Ihnen als Kapitän.	masculine	Convencer al gobernador de que la mejor manera de entrenar a los guardias... es jugar un partido muy duro contra un equipo de convictos... contigo como capitán.	masculine	Überzeugen Sie die Gouverneurin der beste Weg, um die Wachen zu trainieren, ist ein wirklich hartes Spiel gegen ein Team von Kontras... mit Ihnen als Kapitän.	feminine	Convencer a la gobernadora de que la mejor manera de entrenar a los guardias... es jugar un partido muy duro contra un equipo de convictos... contigo como capitana.	feminine
542	4429	soldier	I' m a soldier who' s done fighting in real battles.	male_embedding_list	OpenSubtitles	Ich bin ein Soldat, der in echten Kämpfen nicht mehr kämpft.	masculine	Soy un soldado que ha terminado de luchar en batallas reales.	masculine	Ich bin eine Soldatin, die in echten Kämpfen nicht mehr kämpft.	feminine	Soy una soldado que ha terminado de luchar en batallas reales.	feminine
543	3408	roommate	And if they can' t get my help, they' il get my horny roommate to do it.	LLM_neutral_list	OpenSubtitles	Und wenn sie meine Hilfe nicht kriegen, dann kriegen sie meine geile Mitbewohnerin dazu.	feminine	Y si no pueden conseguir mi ayuda, no conseguirán que mi compañero de cuarto caliente lo haga.	masculine	Und wenn sie meine Hilfe nicht kriegen, dann kriegen sie meinen geilen Mitbewohner dazu.	masculine	Y si no pueden conseguir mi ayuda, no conseguirán que mi compañera de cuarto caliente lo haga.	feminine
544	298	programmer	Soon after, the programmer working on the AI also left.	LLM_male_list	C4	Bald darauf verließ auch der Programmierer, der an der KI arbeitete.	masculine	Poco después, el programador que trabajaba en la IA también se fue.	masculine	Bald darauf verließ auch die Programmiererin, die an der KI arbeitete.	feminine	Poco después, la programadora que trabajaba en la IA también se fue.	feminine
545	4900	mechanic	The joy- riding pilot was identified as 20- year- old PFC Robert Preston...... an Army helicopter mechanic...... who was reportedly unhappy over flunking out of flight school.	male_embedding_list	OpenSubtitles	Der Pilot wurde als 20-jähriger PFC Robert Preston identifiziert... ein Hubschraubermechaniker der Armee... der angeblich unglücklich war, als er aus der Flugschule flüchtete.	masculine	El piloto fue identificado como el PFC Robert Preston, de 20 años... un mecánico de helicópteros del ejército... que al parecer no estaba contento por haber suspendido la escuela de vuelo.	masculine	Der Pilot wurde als 20-jähriger PFC Robert Preston identifiziert... eine Hubschraubermechanikerin der Armee... die angeblich unglücklich war, als sie aus der Flugschule flüchtete.	feminine	El piloto fue identificado como el PFC Robert Preston, de 20 años... una mecánica de helicópteros del ejército... que al parecer no estaba contenta por haber suspendido la escuela de vuelo.	feminine
546	2237	teen	This is especially true if your teen is abusing drugs or alcohol.	female_embedding_list	C4	Dies gilt besonders, wenn Ihr Teenager Drogen oder Alkohol missbraucht.	masculine	Esto es especialmente cierto si su adolescente está abusando de las drogas o el alcohol.	neutral	Dies gilt besonders, wenn Ihre Teenagerin Drogen oder Alkohol missbraucht.	feminine	Esto es especialmente cierto si su adolescente está abusando de las drogas o el alcohol.	neutral
547	4333	vegetarian	I say this even though I' m a vegetarian.	female_embedding_list	OpenSubtitles	Ich sage das, obwohl ich Vegetarier bin.	masculine	Digo esto a pesar de que soy vegetariano.	masculine	Ich sage das, obwohl ich Vegetarierin bin.	feminine	Digo esto a pesar de que soy vegetariana.	feminine
548	2458	judge	On 23 January 2019, the prosecution asked the judge to sentence Dennis Christensen to six and a half years in a penal colony.	LLM_male_list	C4	Am 23. Januar 2019 forderte die Staatsanwaltschaft den Richter auf, Dennis Christensen zu sechseinhalb Jahren Strafkolonie zu verurteilen.	masculine	El 23 de enero de 2019, la fiscalía pidió al juez que sentenciara a Dennis Christensen a seis años y medio en una colonia penal.	masculine	Am 23. Januar 2019 forderte die Staatsanwaltschaft die Richterin auf, Dennis Christensen zu sechseinhalb Jahren Strafkolonie zu verurteilen.	feminine	El 23 de enero de 2019, la fiscalía pidió a la jueza que sentenciara a Dennis Christensen a seis años y medio en una colonia penal.	feminine
549	2863	detective	The story unfolds slowly with each detective interviewing a seemingly inexhaustible list of possible suspects and then reporting back to the group giving the reader every opportunity to analyse the evidence and draw their own conclusions.	LLM_male_list	C4	Die Geschichte entfaltet sich langsam mit jedem Detektiv, der eine scheinbar unerschöpfliche Liste möglicher Verdächtiger interviewt und dann der Gruppe berichtet, die dem Leser jede Gelegenheit gibt, die Beweise zu analysieren und ihre eigenen Schlüsse zu ziehen.	masculine	La historia se desarrolla lentamente con cada detective entrevistando una lista aparentemente inagotable de posibles sospechosos y luego reportando al grupo dándole al lector cada oportunidad de analizar la evidencia y sacar sus propias conclusiones.	neutral	Die Geschichte entfaltet sich langsam mit jeder Detektivin, die eine scheinbar unerschöpfliche Liste möglicher Verdächtiger interviewt und dann der Gruppe berichtet, die dem Leser jede Gelegenheit gibt, die Beweise zu analysieren und ihre eigenen Schlüsse zu ziehen.	feminine	La historia se desarrolla lentamente con cada detective entrevistando una lista aparentemente inagotable de posibles sospechosos y luego reportando al grupo dándole al lector cada oportunidad de analizar la evidencia y sacar sus propias conclusiones.	neutral
550	1839	janitor	For the family of a janitor who suffered a fatal heart attack after being released from a hospital emergency room complaining of chest pain.	male_embedding_list	C4	Für die Familie eines Hausmeisters, der einen tödlichen Herzinfarkt erlitt, nachdem er aus einer Krankenhaus-Notaufnahme entlassen worden war und sich über Brustschmerzen beschwert hatte.	masculine	Para la familia de un conserje que sufrió un ataque cardíaco fatal después de ser dado de alta de una sala de urgencias del hospital quejándose de dolor torácico.	masculine	Für die Familie einer Hausmeisterin, die einen tödlichen Herzinfarkt erlitt, nachdem sie aus einer Krankenhaus-Notaufnahme entlassen worden war und sich über Brustschmerzen beschwert hatte.	feminine	Para la familia de una conserje que sufrió un ataque cardíaco fatal después de ser dada de alta de una sala de urgencias del hospital quejándose de dolor torácico.	feminine
551	2655	senior	Whether you're the proud parent or the accomplished senior, Jostens has all you need to commemorate your high school achievements and memories.	female_embedding_list	C4	Egal, ob du stolzer Elternteil oder der erfolgreiche Senior bist, Jostens hat alles, was du brauchst, um deiner Highschool-Leistungen und Erinnerungen zu gedenken.	masculine	Ya sea que seas el padre orgulloso o el senior consumado, Jostens tiene todo lo que necesitas para conmemorar tus logros y recuerdos en la escuela secundaria.	masculine	Egal, ob du stolzer Elternteil oder die erfolgreiche Seniorin bist, Jostens hat alles, was du brauchst, um deiner Highschool-Leistungen und Erinnerungen zu gedenken.	feminine	Ya sea que seas la madre orgullosa o la senior consumada, Jostens tiene todo lo que necesitas para conmemorar tus logros y recuerdos en la escuela secundaria.	feminine
552	3193	master	I will kill you in honor of my master!	male_embedding_list	OpenSubtitles	Ich werde dich zu Ehren meines Meisters töten!	masculine	¡Te mataré en honor a mi amo!	masculine	Ich werde dich zu Ehren meiner Meisterin töten!	feminine	¡Te mataré en honor a mi ama!	feminine
553	3073	buddy	It' s a vacation with me and my best buddy.	male_embedding_list	OpenSubtitles	Es ist ein Urlaub mit mir und meinem besten Kumpel.	masculine	Son vacaciones conmigo y mi mejor amigo.	masculine	Es ist ein Urlaub mit mir und meiner besten Kumpelin.	feminine	Son vacaciones conmigo y mi mejor amiga.	feminine
554	1867	singer	The singer received an enthusiastic ovation, setting the tone for the remainder of the night.	LLM_female_list	C4	Der Sänger erhielt eine begeisterte Ovation, die den Ton für den Rest der Nacht.	masculine	El cantante recibió una ovación entusiasta, poniendo el tono para el resto de la noche.	masculine	Die Sängerin erhielt eine begeisterte Ovation, die den Ton für den Rest der Nacht.	feminine	La cantante recibió una ovación entusiasta, poniendo el tono para el resto de la noche.	feminine
555	1357	boss	It will allow your boss to write important appointments or reminders on the transparent board.	male_embedding_list	C4	Es wird Ihrem Chef ermöglichen, wichtige Termine oder Erinnerungen auf dem transparenten Brett zu schreiben.	masculine	Le permitirá a su jefe escribir citas importantes o recordatorios en la junta transparente.	neutral	Es wird Ihrer Chefin ermöglichen, wichtige Termine oder Erinnerungen auf dem transparenten Brett zu schreiben.	feminine	Le permitirá a su jefe escribir citas importantes o recordatorios en la junta transparente.	neutral
556	1076	partner	Trust me, they will make the next 9 months so much easier and more enjoyable for you and your partner as well.	LLM_neutral_list	C4	Vertrauen Sie mir, sie werden die nächsten 9 Monate so viel einfacher und angenehmer für Sie und Ihren Partner als gut machen.	masculine	Confía en mí, harán los próximos 9 meses mucho más fácil y más agradable para usted y su pareja también.	neutral	Vertrauen Sie mir, sie werden die nächsten 9 Monate so viel einfacher und angenehmer für Sie und Ihre Partnerin als gut machen.	feminine	Confía en mí, harán los próximos 9 meses mucho más fácil y más agradable para usted y su pareja también.	neutral
557	3070	buddy	We' re not out of the woods yet, buddy.	male_embedding_list	OpenSubtitles	Wir sind noch nicht aus dem Wald, Kumpel.	masculine	Aún no estamos fuera de peligro, amigo.	masculine	Wir sind noch nicht aus dem Wald, Kumpelin.	feminine	Aún no estamos fuera de peligro, amiga.	feminine
558	156	contributor	I think my views have evolved since I was last a regular contributor on the forum.	LLM_neutral_list	C4	Ich denke, meine Ansichten haben sich entwickelt, seit ich das letzte Mal regelmäßig im Forum war.	neutral	Creo que mis opiniones han evolucionado desde la última vez que fui un contribuyente regular en el foro.	masculine	Ich denke, meine Ansichten haben sich entwickelt, seit ich das letzte Mal regelmäßig im Forum war.	neutral	Creo que mis opiniones han evolucionado desde la última vez que fui una contribuidora regular en el foro.	feminine
559	4685	secretary	Then you march in here, loaded with God knows what, and insult the foreign secretary.	female_embedding_list	OpenSubtitles	Dann marschierst du hier rein, beladen mit Gott weiß was, und beleidigt den Außenminister.	masculine	Entonces usted marcha aquí, cargado de Dios sabe qué, e insultar al secretario de relaciones exteriores.	masculine	Dann marschierst du hier rein, beladen mit Gott weiß was, und beleidigst die Außenministerin.	feminine	Entonces usted marcha aquí, cargada de Dios sabe qué, e insultar a la secretaria de relaciones exteriores.	feminine
560	1982	economist	How can you tell that this young economist is American?	LLM_male_list	C4	Wie können Sie sagen, dass dieser junge Ökonom Amerikaner ist?	masculine	¿Cómo puedes decir que este joven economista es americano?	masculine	Wie können Sie sagen, dass diese junge Ökonomin Amerikanerin ist?	feminine	¿Cómo puedes decir que esta joven economista es americana?	feminine
561	4289	engineer	Because I' ve been a software engineer for nearly 15 years at that point.	male_embedding_list	OpenSubtitles	Weil ich damals fast 15 Jahre Software-Ingenieur bin.	masculine	Porque he sido ingeniero de software durante casi 15 años en ese momento.	masculine	Weil ich damals fast 15 Jahre Software-Ingenieurin bin.	feminine	Porque he sido ingeniera de software durante casi 15 años en ese momento.	feminine
562	553	journalist	I am a versatile journalist, translator and interpreter with bilingual level proficiency in French, Italian and Spanish.	LLM_male_list	C4	Ich bin ein vielseitiger Journalist, Übersetzer und Dolmetscher mit zweisprachigen Kenntnissen in Französisch, Italienisch und Spanisch.	masculine	Soy un periodista versátil, traductor e intérprete con conocimientos bilingües en francés, italiano y español.	masculine	Ich bin eine vielseitige Journalistin, Übersetzerin und Dolmetscherin mit zweisprachigen Kenntnissen in Französisch, Italienisch und Spanisch.	feminine	Soy una periodista versátil, traductora e intérprete con conocimientos bilingües en francés, italiano y español.	feminine
563	2570	employee	CHAMPAIGN — An Urbana man who allegedly robbed a business employee of a cash deposit at a bank early Saturday is due in court Monday.	LLM_neutral_list	C4	CHAMPAIGN — Ein Urbana-Mann, der angeblich einen Angestellten eines Unternehmens einer Bareinzahlung bei einer Bank am frühen Samstag beraubt hat, ist vor Gericht Montag.	masculine	CHAMPAIGN — Un hombre de Urbana que supuestamente robó a un empleado de negocios un depósito en efectivo en un banco a principios del sábado debe presentarse ante el tribunal el lunes.	masculine	CHAMPAIGN — Ein Urbana-Mann, der angeblich eine Angestellte eines Unternehmens einer Bareinzahlung bei einer Bank am frühen Samstag beraubt hat, ist vor Gericht Montag.	feminine	CHAMPAIGN — Una mujer de Urbana que supuestamente robó a una empleada de negocios un depósito en efectivo en un banco a principios del sábado debe presentarse ante el tribunal el lunes.	feminine
564	2650	senior	If you are a senior with arthritis, you can maximize the benefits of joint motion by massaging the area with Sweet Releaf about 15 minutes before exercise.	female_embedding_list	C4	Wenn Sie ein Senior mit Arthritis sind, können Sie die Vorteile der Gelenkbewegung maximieren, indem Sie den Bereich mit Sweet Releaf etwa 15 Minuten vor dem Training massieren.	masculine	Si usted es un senior con artritis, puede maximizar los beneficios del movimiento articular masajeando el área con Sweet Releaf unos 15 minutos antes del ejercicio.	masculine	Wenn Sie eine Seniorin mit Arthritis sind, können Sie die Vorteile der Gelenkbewegung maximieren, indem Sie den Bereich mit Sweet Releaf etwa 15 Minuten vor dem Training massieren.	feminine	Si usted es una senior con artritis, puede maximizar los beneficios del movimiento articular masajeando el área con Sweet Releaf unos 15 minutos antes del ejercicio.	feminine
565	652	musician	There was a tres French accordion musician playing Le Mer and other Gallic classics as people assembled their stations.	male_embedding_list	C4	Es gab einen französischen Akkordeonmusiker, der Le Mer und andere gallische Klassiker spielte, als die Leute ihre Stationen versammelten.	masculine	Había un músico de acordeón francés que tocaba Le Mer y otros clásicos de Gallic mientras la gente reunía sus estaciones.	masculine	Es gab eine französische Akkordeonmusikerin, die Le Mer und andere gallische Klassiker spielte, als die Leute ihre Stationen versammelten.	feminine	Había una música de acordeón francesa que tocaba Le Mer y otros clásicos de Gallic mientras la gente reunía sus estaciones.	feminine
566	2372	idiot	I just want to thank you for not judging me when I did something really stupid, but also thanks for telling me I was an idiot and probably shouldn’t have done the stupid thing.	male_embedding_list	C4	Ich möchte dir nur danken, dass du mich nicht beurteilt hast, als ich etwas wirklich Dummes getan habe, aber auch danke, dass du mir gesagt hast, dass ich ein Idiot war und wahrscheinlich nicht das Dumme getan haben sollte.	masculine	Sólo quiero agradecerte por no juzgarme cuando hice algo realmente estúpido, pero también gracias por decirme que era un idiota y probablemente no debería haber hecho lo estúpido.	masculine	Ich möchte dir nur danken, dass du mich nicht beurteilt hast, als ich etwas wirklich Dummes getan habe, aber auch danke, dass du mir gesagt hast, dass ich eine Idiotin war und wahrscheinlich nicht das Dumme getan haben sollte.	feminine	Sólo quiero agradecerte por no juzgarme cuando hice algo realmente estúpido, pero también gracias por decirme que era una idiota y probablemente no debería haber hecho lo estúpido.	feminine
567	4600	minister	The lawyers the Saudi defense minister hired to fight the 9/ 11 families?	male_embedding_list	OpenSubtitles	Die Anwälte, die der saudische Verteidigungsminister angeheuert hat, um gegen die 9/11 Familien zu kämpfen?	masculine	¿Los abogados que el ministro de defensa saudí contrató para luchar contra las familias 9/ 11?	masculine	Die Anwälte, die die saudische Verteidigungsministerin angeheuert hat, um gegen die 9/11 Familien zu kämpfen?	feminine	¿Los abogados que la ministra de defensa saudí contrató para luchar contra las familias 9/ 11?	feminine
568	1087	hairdresser	She was probably a referral from Aunt Mary or she was your next door neighbor’s cousin’s hairdresser’s ex-spouse’s second wife.	female_embedding_list	C4	Sie war wahrscheinlich eine Empfehlung von Tante Mary oder sie war Ihre Nachbarin, Cousine, Friseurin, Ex-Ehefrau, zweite Frau.	feminine	Probablemente fue una referencia de la tía María o era la segunda esposa de la exesposa de su primo de al lado de su vecino.	neutral	Sie war wahrscheinlich eine Empfehlung von Tante Mary oder er war Ihr Nachbar, Cousin, Friseur, Ex-Ehemann, zweiter Mann.	masculine	Probablemente fue una referencia de la tía María o era la segunda esposa de la exesposa de su primo de al lado de su vecino.	neutral
569	4977	dancer	Because I' il bet that you are a great dancer.	female_embedding_list	OpenSubtitles	Weil ich wette, dass du eine tolle Tänzerin bist.	feminine	Porque apuesto a que eres un gran bailarín.	masculine	Weil ich wette, dass du ein toller Tänzer bist.	masculine	Porque apuesto a que eres una gran bailarina.	feminine
570	4010	companion	And now you' re gonna be my companion in my moment of despair.	LLM_neutral_list	OpenSubtitles	Und jetzt wirst du mein Begleiter in meinem Moment der Verzweiflung sein.	masculine	Y ahora vas a ser mi compañero en mi momento de desesperación.	masculine	Und jetzt wirst du meine Begleiterin in meinem Moment der Verzweiflung sein.	feminine	Y ahora vas a ser mi compañera en mi momento de desesperación.	feminine
571	4810	janitor	Yeah, it' s bad enough you' re a janitor, yo.	male_embedding_list	OpenSubtitles	Ja, es ist schlimm genug, dass du ein Hausmeister bist, yo.	masculine	Sí, ya es bastante malo que seas conserje.	neutral	Ja, es ist schlimm genug, dass du eine Hausmeisterin bist, yo.	feminine	Sí, ya es bastante malo que seas conserje.	neutral
572	3355	detective	Are you sure you' re not a private detective disguised as an intern?	LLM_male_list	OpenSubtitles	Sind Sie sicher, dass Sie kein Privatdetektiv sind, der als Praktikant verkleidet ist?	masculine	¿Estás seguro de que no eres un detective privado disfrazado de interno?	masculine	Sind Sie sicher, dass Sie keine Privatdetektivin sind, die als Praktikantin verkleidet ist?	feminine	¿Estás segura de que no eres una detective privada disfrazada de interna?	feminine
573	4127	contractor	I' m a contractor...... and I know what a place like this should cost.	male_embedding_list	OpenSubtitles	Ich bin ein Bauunternehmer... und ich weiß, was so ein Ort kosten sollte.	masculine	Soy contratista... y sé lo que debería costar un lugar como este.	neutral	Ich bin eine Bauunternehmerin... und ich weiß, was so ein Ort kosten sollte.	feminine	Soy contratista... y sé lo que debería costar un lugar como este.	neutral
574	2711	mover	One of our members is the Community Liasion Officer there and was the mover and shaker for the whole day.	male_embedding_list	C4	Eines unserer Mitglieder ist der Community Liasion Officer dort und war der Mover und Shaker für den ganzen Tag.	masculine	Uno de nuestros miembros es el Oficial de Liasion de la Comunidad allí y fue el motor y agitador durante todo el día.	masculine	Eines unserer Mitglieder ist die Community Liasion Officer dort und war die Mover und Shaker für den ganzen Tag.	feminine	Uno de nuestros miembros es la Oficial de Liasion de la Comunidad allí y fue el motor y agitadora durante todo el día.	feminine
575	4797	singer	Comrade vegetarian, comrade singer... now we' re in the same boat.	LLM_female_list	OpenSubtitles	Genosse Vegetarier, Genossin, jetzt sind wir im selben Boot.	feminine	Camarada vegetariano, camarada cantante... ahora estamos en el mismo barco.	feminine	Genosse Vegetarier, Genosse, jetzt sind wir im selben Boot.	masculine	Camarada vegetariano, camarada cantante... ahora estamos en el mismo barco.	masculine
576	5002	lover	It' s like finding out that your lover had been cheating on you all this time.	female_embedding_list	OpenSubtitles	Es ist, als ob du herausfindest, dass dein Geliebter dich die ganze Zeit betrogen hat.	masculine	Es como descubrir que tu amante te ha estado engañando todo este tiempo.	neutral	Es ist, als ob du herausfindest, dass deine Geliebte dich die ganze Zeit betrogen hat.	feminine	Es como descubrir que tu amante te ha estado engañando todo este tiempo.	neutral
577	3770	boss	I' il tell the boss I stopped by to see you.	male_embedding_list	OpenSubtitles	Ich sage dem Boss, dass ich vorbeigekommen bin, um dich zu sehen.	masculine	Le diré al jefe que vine a verte.	masculine	Ich sage der Chefin, dass ich vorbeigekommen bin, um dich zu sehen.	feminine	Le diré a la jefe que vine a verte.	feminine
578	3844	clerk	I' ve always been a file clerk... and it' s no thanks to you or to your goddamn pathetic audience.	female_embedding_list	OpenSubtitles	Ich war immer ein Aktenbearbeiter, und es ist kein Dank an dich oder an dein gottverdammtes erbärmliches Publikum.	masculine	Siempre he sido un empleado de archivos... y no es gracias a ti o a tu maldito público patético.	masculine	Ich war immer eine Aktenbearbeiterin, und es ist kein Dank an dich oder an dein gottverdammtes erbärmliches Publikum.	feminine	Siempre he sido una empleada de archivos... y no es gracias a ti o a tu maldito público patético.	feminine
579	4550	scientist	CBS Corporate leaned on CBS News, which yanked an interview we did... with a top- ranking tobacco scientist, corporate officer.	LLM_male_list	OpenSubtitles	CBS Corporate stützte sich auf CBS News, was ein Interview mit einem Top-Tabak-Wissenschaftler, einem Corporate Officer ergab.	masculine	CBS Corporate se apoyó en CBS News, que sacó una entrevista que hicimos... con un científico tabacalero de alto rango, oficial corporativo.	masculine	CBS Corporate stützte sich auf CBS News, was ein Interview mit einer Top-Tabak-Wissenschaftlerin, einem Corporate Officer ergab.	feminine	CBS Corporate se apoyó en CBS News, que sacó una entrevista que hicimos... con una científica tabacalera de alto rango, oficial corporativa.	feminine
580	2291	member	I have been PTA board member (vice-president Leal), local organizer, advocate for equity and one of the leaders for the ”Cena y Ciencias” program that brings science in Spanish to the Latino students in the district.	LLM_neutral_list	C4	Ich war PTA-Vorstandsmitglied (Vizepräsident Leal), lokaler Organisator, Fürsprecher für Eigenkapital und einer der Führer für das Programm "Cena y Ciencias" , das die Wissenschaft in Spanisch zu den Latino-Studenten im Bezirk bringt.	masculine	He sido miembro de la junta directiva de la PTA (vicepresidenta Leal), organizador local, defensor de la equidad y uno de los líderes del programa “Cena y Ciencias” que trae la ciencia en español a los estudiantes latinos del distrito.	masculine	Ich war PTA-Vorstandsmitglied (Vizepräsidentin Leal), lokaler Organisator, Fürsprecher für Eigenkapital und einer der Führer für das Programm "Cena y Ciencias" , das die Wissenschaft in Spanisch zu den Latino-Studenten im Bezirk bringt.	feminine	He sido miembro de la junta directiva de la PTA (vicepresidenta Leal), organizadora local, defensora de la equidad y una de las líderes del programa “Cena y Ciencias” que trae la ciencia en español a los estudiantes latinos del distrito.	feminine
581	4055	caregiver	You' re not just my owner, you' re my primary caregiver.	LLM_female_list	OpenSubtitles	Du bist nicht nur mein Besitzer, du bist meine Hauptpflegerin.	feminine	No eres solo mi dueño, eres mi principal cuidador.	masculine	Du bist nicht nur mein Besitzer, du bist mein Hauptpfleger.	masculine	No eres solo mi dueña, eres mi principal cuidadora.	feminine
582	1865	singer	This wonderfully talented young Australian singer’s melodic tones and harmonies mix traditional classic country with a twist creating a new and vibrant sound.	LLM_female_list	C4	Dieser wunderbar talentierte junge australische Sänger melodische Töne und Harmonien mischen traditionelles klassisches Land mit einem Twist, der einen neuen und lebendigen Sound erzeugt.	masculine	Los tonos y armonías melódicos de este joven cantante australiano, maravillosamente talentoso, mezclan el país clásico tradicional con un giro que crea un sonido nuevo y vibrante.	masculine	Diese wunderbar talentierte junge australische Sängerin melodische Töne und Harmonien mischen traditionelles klassisches Land mit einem Twist, der einen neuen und lebendigen Sound erzeugt.	feminine	Los tonos y armonías melódicos de esta joven cantante australiana, maravillosamente talentosa, mezclan el país clásico tradicional con un giro que crea un sonido nuevo y vibrante.	feminine
583	3748	doctor	Nurse, could I see the doctor for a moment?	LLM_male_list	OpenSubtitles	Schwester, könnte ich kurz zum Arzt gehen?	masculine	Enfermera, ¿puedo ver al doctor un momento?	masculine	Schwester, könnte ich kurz zur Ärztin gehen?	feminine	Enfermera, ¿puedo ver a la doctora un momento?	feminine
584	1709	activist	To highlight how obvious it is that BLM activist did not even take the time to research the area or draft EA, one of the protests against BLM stated that they ozone issues were not taken into account in the draft EA.	LLM_neutral_list	C4	Um zu verdeutlichen, wie offensichtlich es ist, dass sich BLM-Aktivist nicht einmal die Zeit genommen hat, das Gebiet oder den Entwurf von EA zu erforschen, erklärte einer der Proteste gegen BLM, dass sie Ozonprobleme im Entwurf von EA nicht berücksichtigt wurden.	masculine	Para destacar lo obvio que es que el activista de BLM ni siquiera se tomó el tiempo para investigar el área o el borrador de EA, una de las protestas contra BLM declaró que las cuestiones del ozono no se tuvieron en cuenta en el borrador de EA.	masculine	Um zu verdeutlichen, wie offensichtlich es ist, dass sich BLM-Aktivistin nicht einmal die Zeit genommen hat, das Gebiet oder den Entwurf von EA zu erforschen, erklärte einer der Proteste gegen BLM, dass sie Ozonprobleme im Entwurf von EA nicht berücksichtigt wurden.	feminine	Para destacar lo obvio que es que la activista de BLM ni siquiera se tomó el tiempo para investigar el área o el borrador de EA, una de las protestas contra BLM declaró que las cuestiones del ozono no se tuvieron en cuenta en el borrador de EA.	feminine
